Category,Location,Purchase Date,Purchase Cost,Model Name,Manufacturer,Asset Tag,Checkout Type,Checkout Location,Notes,Status
Спецсредства,Легис-СПБ,2015-12-24,12100,Егерский регистратор Z-7,Не определен,1,location,Легис-СПБ,1128,Доступные
Спецсредства,Легис-СПБ,2015-12-24,12100,Егерский регистратор Z-7,Не определен,2,location,Легис-СПБ,1129,Доступные
Спецсредства,Легис-СПБ,2015-12-24,12100,Егерский регистратор Z-7,Не определен,3,location,Легис-СПБ,1130,Доступные
Спецсредства,Легис-СПБ,2015-12-24,12100,Егерский регистратор Z-7,Не определен,4,location,Легис-СПБ,1131,Доступные
Спецсредства,Легис-СПБ,2015-12-24,12100,Егерский регистратор Z-7,Не определен,5,location,Легис-СПБ,1132,Доступные
Спецсредства,Легис-СПБ,2017-08-03,0,Карта памяти 32 Gb,Не определен,6,location,Легис-СПБ,1797,Доступные
Спецсредства,Легис-СПБ,2017-08-03,0,Фотоаппарат FujiFilm AX600,Не определен,7,location,Легис-СПБ,12500577,Доступные
Форма,Легис-СПБ,2016-10-11,330,Галстук серый Модерам,Не определен,8,location,Легис-СПБ,1843,Доступные
Форма,Легис-СПБ,,450,Бейсболка серая с вышивкой Легис,Не определен,9,location,Легис-СПБ,1853,Доступные
Форма,Легис-СПБ,2018-08-02,1345,Брюки мужские Легис СПб,Не определен,10,location,Легис-СПБ,1800,Доступные
Форма,Легис-СПБ,2018-08-02,2360,Куртка мужская Легис СПб,Не определен,11,location,Легис-СПБ,1799,Доступные
Форма,Легис-СПБ,2018-09-13,365,Ремень тканевый,Не определен,12,location,Легис-СПБ,1888,Доступные
Форма,Легис-СПБ,2018-08-02,1121,Сорочка с длинным рукавом СПб,Не определен,13,location,Легис-СПБ,1801,Доступные
Форма,Легис-СПБ,2018-08-02,1003,Сорочка с коротким рукавом СПб,Не определен,14,location,Легис-СПБ,1802,Доступные
Форма,з-д Тойота СПб,2016-03-09,295,Жилет регулировщика,Не определен,15,location,з-д Тойота СПб,1744,Доступные
Форма,з-д Тойота СПб,2018-09-13,365,Ремень тканевый,Не определен,16,location,з-д Тойота СПб,1888,Доступные
Спецсредства,з-д Тойота СПб,2016-02-29,0,Фотоаппарат Nikon Coolpix L29,Не определен,17,location,з-д Тойота СПб,11711229,Доступные
Спецсредства,з-д Тойота СПб,2015-08-19,0,Фотоаппарат Nikon,Не определен,18,location,з-д Тойота СПб,12495213,Доступные
Телефоны,ГБР Николина Гора,2016-09-16,1390,Моб.телефон Nokia 105 Dual SIM,Не определен,19,location,ГБР Николина Гора,12500153,Доступные
Смартфоны,ГБР Николина Гора,2017-08-07,7200,Смартфон Samsung Galaxy J1,Не определен,20,location,ГБР Николина Гора,12500645,Доступные
Sim Карты,ГБР Николина Гора,2016-03-10,0,SIM карта Мегафон,Не определен,21,location,ГБР Николина Гора,916-990-06-43,Доступные
Электроприборы,ГБР Николина Гора,2015-08-25,3300,Шлифовальная машинка Makita GA5030,Не определен,22,location,ГБР Николина Гора,10773426,Доступные
Электроприборы,ГБР Николина Гора,2015-08-26,5900,Шуруповерт Hitachi  DS14DCL-RA,Не определен,23,location,ГБР Николина Гора,10773428,Доступные
Бытовая Техника,ГБР Николина Гора,2014-12-04,0,"Обогреватель ""ВЕТЕРОК""",Не определен,24,location,ГБР Николина Гора,12496828,Доступные
Бытовая Техника,ГБР Николина Гора,2013-11-12,0,Обогреватель (масло),Не определен,25,location,ГБР Николина Гора,12551328,Доступные
Бытовая Техника,ГБР Николина Гора,2013-11-12,0,СВЧ. ПЕЧЬ,Не определен,26,location,ГБР Николина Гора,12496236,Доступные
Бытовая Техника,ГБР Николина Гора,2017-08-08,18150,Стиральная машина Indesit ITW А 5851,Не определен,27,location,ГБР Николина Гора,12500618,Доступные
Бытовая Техника,ГБР Николина Гора,2015-08-25,18232,Холодильник Бирюса 127 LE,Не определен,28,location,ГБР Николина Гора,10773427,Доступные
Бытовая Техника,ГБР Николина Гора,2018-08-06,370,Чайник Homestar HS-1001,Не определен,29,location,ГБР Николина Гора,12346662,Доступные
Бытовая Техника,ГБР Николина Гора,2013-07-18,0,Эл. ПЛИТКА,Не определен,30,location,ГБР Николина Гора,12495912,Доступные
Бытовая Техника,ГБР Николина Гора,2013-10-14,0,Эл. ЧАЙНИК,Не определен,31,location,ГБР Николина Гора,12500086,Доступные
Блок-Контейнер,ГБР Николина Гора,2012-08-16,0,Блок-контейнер БК-06,Не определен,32,location,ГБР Николина Гора,12500090,Доступные
Блок-Контейнер,ГБР Николина Гора,2017-06-30,56500,Бытовка Краус,Не определен,33,location,ГБР Николина Гора,1780,Доступные
Спецсредства,Офис,2018-10-08,1462,Электрошокер Гепард TW 309 Pro,Не определен,34,location,Офис,2007,Доступные
Бытовая Техника,Офис,2019-11-22,400,чайник Великие реки 1А,Не определен,35,location,Офис,12346224,Доступные
Бытовая Техника,Логиново,2018-10-12,0,Обогреватель масляный Timberk TOR 21,Не определен,36,location,Логиново,12346537,Доступные
Мебель,Логиново,2016-09-13,0,Кровать-тумба Вилия,Не определен,37,location,Логиново,12346447,Доступные
Мебель,Логиново,2018-12-29,500,Матрас 190х800х70,Не определен,38,location,Логиново,1962,Доступные
Мебель,Логиново,2017-04-03,0,Матрас 190х800х70,Не определен,39,location,Логиново,,Доступные
Радиостанции,КУШМАН ЭНД ВЫЙФИЛД Херсонская,,0,Хутера БУ,Не определен,40,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12492500/13977285,Доступные
Радиостанции,КУШМАН ЭНД ВЫЙФИЛД Херсонская,,0,Хутера БУ,Не определен,41,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12492714/12492715,Доступные
Sim Карты,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2016-03-10,0,SIM карта Мегафон,Не определен,42,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,,Доступные
Мебель,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2018-05-10,0,Одеяло синтепоновое 2050*1400,Не определен,43,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,1774,Доступные
Мебель,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2018-11-26,350,Подушка холлофайбер,Не определен,44,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,1894,Доступные
Мебель,КУШМАН ЭНД ВЫЙФИЛД Херсонская,,0,Раскладушка БУ,Не определен,45,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12496180,Доступные
Бытовая Техника,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2018-11-26,2962,Обогреватель масляный Ballu BOH/CM-11,Не определен,46,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12346321,Доступные
Бытовая Техника,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2018-11-26,2962,Обогреватель масляный Ballu BOH/CM-11,Не определен,47,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12346320,Доступные
Бытовая Техника,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2018-10-31,3635,СВЧ печь Daewoo KOR-660BW,Не определен,48,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12346317,Доступные
Бытовая Техника,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2019-03-22,11790,Стиральная машина Indesit IWUB 4085,Не определен,49,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12346109,Доступные
Бытовая Техника,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2017-05-15,0,Холодильник Норд DRT 50,Не определен,50,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12493822,Доступные
Бытовая Техника,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2018-11-27,675,Чайник Marta MT-1083,Не определен,51,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,12346322,Доступные
Электроприборы,КУШМАН ЭНД ВЫЙФИЛД Херсонская,2016-01-29,0,Фонарь Навигатор NPT-CP04-ACCU,Не определен,52,location,КУШМАН ЭНД ВЫЙФИЛД Херсонская,11711777,Доступные
Телефоны,Автокран Аренда,2018-05-08,0,Моб.телефон Nokia 105,Не определен,53,location,Автокран Аренда,12500127,Доступные
Телефоны,Автокран Аренда,,0,Радиостанция Б/У,Не определен,54,location,Автокран Аренда,12493176/12492509,Доступные
Телефоны,Автокран Аренда,,0,Радиостанция Б/У,Не определен,55,location,Автокран Аренда,13977914/13977506,Доступные
Телефоны,Автокран Аренда,,0,Радиостанция Б/У,Не определен,56,location,Автокран Аренда,12492462/13977271,Доступные
Телефоны,Автокран Аренда,2019-07-08,0,Радиостанция Б/У,Не определен,57,location,Автокран Аренда,12492039/13977522,Доступные
Бытовая Техника,Автокран Аренда,2019-11-22,3200,Микроволновая печь  Sinbo SMO,Не определен,58,location,Автокран Аренда,12346218,Доступные
Бытовая Техника,Автокран Аренда,2019-12-06,1690,обогреватель Sonnen DFS-05,Не определен,59,location,Автокран Аренда,12346212,Доступные
Бытовая Техника,Автокран Аренда,2018-04-06,0,Обогреватель масляный Timberk TOR 21,Не определен,60,location,Автокран Аренда,12346211,Доступные
Бытовая Техника,Автокран Аренда,2014-04-17,0,Холодильник,Не определен,61,location,Автокран Аренда,12496814,Доступные
Бытовая Техника,Автокран Аренда,2018-10-25,0,Чайник Homestar HS-1001,Не определен,62,location,Автокран Аренда,12346217,Доступные
Электроприборы,Автокран Аренда,2020-04-13,449,"Фонарь светодиодный ""Трофи"" аккумуляторный TSP10, 2 режима",Не определен,63,location,Автокран Аренда,12346214,Доступные
Спецсредства,Автокран Аренда,2020-01-30,1350,Металлодетектор MD-200,Не определен,64,location,Автокран Аренда,12346215,Доступные
Телефоны,МКПК (Павелецкая наб.),2015-07-06,990,Моб.телефон Nokia 105,Не определен,65,location,МКПК (Павелецкая наб.),12495657,Доступные
Радиостанции,МКПК (Павелецкая наб.),2015-07-06,3000,Hytera TC-518 б/у,Не определен,66,location,МКПК (Павелецкая наб.),12493156,Доступные
Радиостанции,МКПК (Павелецкая наб.),2015-07-06,3000,Hytera TC-518 б/у,Не определен,67,location,МКПК (Павелецкая наб.),12493160/61,Доступные
Радиостанции,МКПК (Павелецкая наб.),2015-07-06,3000,Hytera TC-518 б/у,Не определен,68,location,МКПК (Павелецкая наб.),12493162/63,Доступные
Зарядные Устройства,МКПК (Павелецкая наб.),2014-04-29,0,Аккумулятор хутера б/у,Не определен,69,location,МКПК (Павелецкая наб.),12492165,Доступные
Электроприборы,МКПК (Павелецкая наб.),,0,Фонарь ФОС-3/5,Не определен,70,location,МКПК (Павелецкая наб.),12495637,Доступные
Электроприборы,МКПК (Павелецкая наб.),,0,Фонарь ФОС-3/5,Не определен,71,location,МКПК (Павелецкая наб.),12495638,Доступные
Зарядное Устройство,МКПК (Павелецкая наб.),,0,З/У для ФОНАРЯ,Не определен,72,location,МКПК (Павелецкая наб.),699,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Обогреватель (масло),Не определен,73,location,МКПК (Павелецкая наб.),12495649,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),2015-12-09,2929,Обогреватель масляный РЕСАНТА ОМПТ-9Н,Не определен,74,location,МКПК (Павелецкая наб.),11711540,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,СВЧ. ПЕЧЬ,Не определен,75,location,МКПК (Павелецкая наб.),12495645,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,СВЧ. ПЕЧЬ,Не определен,76,location,МКПК (Павелецкая наб.),12495646,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),2014-05-08,0,СВЧ печь Supra MWS-1814MW,Не определен,77,location,МКПК (Павелецкая наб.),12495656,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Утюг,Не определен,78,location,МКПК (Павелецкая наб.),12495650,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Утюг,Не определен,79,location,МКПК (Павелецкая наб.),12495651,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,ХОЛОДИЛЬНИК,Не определен,80,location,МКПК (Павелецкая наб.),12495647,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,ХОЛОДИЛЬНИК,Не определен,81,location,МКПК (Павелецкая наб.),12495648,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),2014-05-22,0,ХОЛОДИЛЬНИК Саратов,Не определен,82,location,МКПК (Павелецкая наб.),12495655,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Эл. ПЛИТКА,Не определен,83,location,МКПК (Павелецкая наб.),12495639,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Эл. ПЛИТКА,Не определен,84,location,МКПК (Павелецкая наб.),12495640,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Эл. ПЛИТКА,Не определен,85,location,МКПК (Павелецкая наб.),12495641,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Эл. ЧАЙНИК,Не определен,86,location,МКПК (Павелецкая наб.),12495642,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Эл. ЧАЙНИК,Не определен,87,location,МКПК (Павелецкая наб.),12495643,Доступные
Бытовая Техника,МКПК (Павелецкая наб.),,0,Эл. ЧАЙНИК,Не определен,88,location,МКПК (Павелецкая наб.),12495644,Доступные
Мебель,МКПК (Павелецкая наб.),,0,Кровать двухъярусная,Не определен,89,location,МКПК (Павелецкая наб.),12495652,Доступные
Мебель,МКПК (Павелецкая наб.),,0,Кровать двухъярусная,Не определен,90,location,МКПК (Павелецкая наб.),12495653,Доступные
Мебель,МКПК (Павелецкая наб.),,0,Матрац,Не определен,91,location,МКПК (Павелецкая наб.),711,Доступные
Мебель,МКПК (Павелецкая наб.),,0,Одеяло,Не определен,92,location,МКПК (Павелецкая наб.),712,Доступные
Мебель,МКПК (Павелецкая наб.),,0,Подушка,Не определен,93,location,МКПК (Павелецкая наб.),713,Доступные
Мебель,МКПК (Павелецкая наб.),,0,Раскладушка,Не определен,94,location,МКПК (Павелецкая наб.),12495654,Доступные
Телефоны,Стар трейд,2015-08-06,990,Моб.телефон Nokia 105,Не определен,95,location,Стар трейд,12495253,Доступные
Бытовая Техника,Стар трейд,2014-01-26,0,Вентилятор,Не определен,96,location,Стар трейд,12493528,Доступные
Бытовая Техника,Стар трейд,2019-04-10,0,Водонагреватель Edisson ER 50 V,Не определен,97,location,Стар трейд,12346042,Доступные
Бытовая Техника,Стар трейд,2019-02-14,0,Мультиварка Polaris PMC 0517AD,Не определен,98,location,Стар трейд,12346188,Доступные
Бытовая Техника,Стар трейд,2018-07-02,0,Напольный вентилятор Mystery MSF-2421,Не определен,99,location,Стар трейд,13973746,Доступные
Бытовая Техника,Стар трейд,2019-01-28,0,Обогреватель масляный Ballu BOH/CL-11,Не определен,100,location,Стар трейд,12346222,Доступные
Бытовая Техника,Стар трейд,2019-09-16,390,Чайник Homestar HS-1001,Не определен,101,location,Стар трейд,12345877,Доступные
