Category,Location,Purchase Date,Purchase Cost,Model Name,Manufacturer,Serial,Asset Tag,Checkout Type,Checkout Location,Notes,Status
usb-модем,Автокран Аренда ЗАО физика,17.05.2017,,Мегафон,Мегафон,929 531-26-24,it_12346127,location,Автокран Аренда ЗАО физика,,Доступные
usb-модем,Агрофирма НИВА,25.02.2019,,Мегафон,Мегафон,926 535-51-50,it_12346370,location,Агрофирма НИВА,,Доступные
usb-модем,Агрофирма Подмосковный,16.05.2017,,Мегафон,Мегафон,926 206-17-88,it_12346272,location,Агрофирма Подмосковный,,Доступные
usb-модем,Агрофирма Подмосковный,16.05.2017,,Мегафон,Мегафон,926 207-97-76,it_12346274,location,Агрофирма Подмосковный,,Доступные
usb-модем,Агрофирма Подмосковный,17.05.2017,,Мегафон,Мегафон,926 206-15-93,it_12346273,location,Агрофирма Подмосковный,,Доступные
usb-модем,Агрофирма Подмосковный,30.01.2020,,Мегафон,Мегафон,926 207-96-49,it_12346159,location,Агрофирма Подмосковный,,Доступные
usb-модем,АИЖК Ходынский,19.12.2017,,Мегафон,Мегафон,926 537-08-31,it_12346352,location,АИЖК Ходынский,,Доступные
usb-модем,Альфа Грант,22.06.2017,,Мегафон,Мегафон,926 535-63-58,it_13977065,location,Альфа Грант,,Доступные
usb-модем,Америя Рус,24.05.2017,,Мегафон,Мегафон,926 207-97-92,it_12346362,location,Америя Рус,,Доступные
usb-модем,Артмувер - Мировский ИВ,15.05.2017,,Мегафон,Мегафон,,it_12346288,location,Артмувер - Мировский ИВ,,Доступные
usb-модем,База отдыха Мирный,17.05.2017,,Мегафон,Мегафон,926 206-18-27,it_12346253,location,База отдыха Мирный,,Доступные
usb-модем,Балрум,17.05.2017,,Мегафон,Мегафон,926 537-10-99,it_12346316,location,Балрум,,Доступные
usb-модем,Банк Далена,27.11.2017,,Мегафон,Мегафон,926 535-73-82,it_13976848,location,Банк Далена,,Доступные
usb-модем,Берег,16.05.2017,,Мегафон,Мегафон,929 531-25-41,it_13976264,location,Берег,,Доступные
usb-модем,БЦ Шуховская 14,18.03.2019,,Мегафон,Мегафон,926 206-13-68,it_12551091,location,БЦ Шуховская 14,,Доступные
usb-модем,ГБР 10,25.03.2020,,Мегафон,Мегафон,9265370446,it_12346111,location,ГБР 10,,Доступные
usb-модем,ГБР 12,04.09.2018,2650,Мегафон,Мегафон,925 216-83-35,it_12346672,location,ГБР 12,,Доступные
usb-модем,ГБР 14,24.08.2017,,Мегафон,Мегафон,926 535-76-23,it_13976756,location,ГБР 14,,Доступные
usb-модем,ГБР 15,25.09.2018,3000,Мегафон,Мегафон,929 531-24-38,it_12346645,location,ГБР 15,,Доступные
