Category,Location,Purchase Date,Purchase Cost,Model Name,Manufacturer,Serial,Asset Tag,Checkout Type,Checkout Location,Notes,Status
usb-модем,Автокран Аренда ЗАО физика,17.05.2017,,Мегафон,Мегафон,9295312624,it_12346127,location,Автокран Аренда ЗАО физика,,Доступные
usb-модем,Агрофирма НИВА,25.02.2019,,Мегафон,Мегафон,9265355150,it_12346370,location,Агрофирма НИВА,929 531-27-45 судя по всему старый номер,Доступные
usb-модем,Агрофирма Подмосковный,16.05.2017,,Мегафон,Мегафон,9262061788,it_12346272,location,Агрофирма Подмосковный,б\у,Доступные
usb-модем,Агрофирма Подмосковный,16.05.2017,,Мегафон,Мегафон,9262079776,it_12346274,location,Агрофирма Подмосковный,б\у,Доступные
usb-модем,Агрофирма Подмосковный,17.05.2017,,Мегафон,Мегафон,9262061593,it_12346273,location,Агрофирма Подмосковный,б\у,Доступные
usb-модем,Агрофирма Подмосковный,30.01.2020,,Мегафон,Мегафон,9262079649,it_12346159,location,Агрофирма Подмосковный,,Доступные
usb-модем,АИЖК Ходынский,19.12.2017,,Мегафон,Мегафон,9265370831,it_12346352,location,АИЖК Ходынский,"б\у 139770100 старая, но не верная",Доступные
usb-модем,Альфа Грант,22.06.2017,,Мегафон,Мегафон,9265356358,it_13977065,location,Альфа Грант,б\у,Доступные
usb-модем,Америя Рус,24.05.2017,,Мегафон,Мегафон,9262079792,it_12346362,location,Америя Рус,13976002 старая инвентарка,Доступные
usb-модем,Артмувер - Мировский ИВ,15.05.2017,,Мегафон,Мегафон,,it_12346288,location,Артмувер - Мировский ИВ,б\у,Доступные
usb-модем,База отдыха Мирный,17.05.2017,,Мегафон,Мегафон,9262061827,it_12346253,location,База отдыха Мирный,б\у,Доступные
usb-модем,Балрум,17.05.2017,,Мегафон,Мегафон,9265371099,it_12346316,location,Балрум,б\у старая инвентарка 12551238,Доступные
usb-модем,Банк Далена,27.11.2017,,Мегафон,Мегафон,9265357382,it_13976848,location,Банк Далена,б\у,Доступные
usb-модем,Берег,16.05.2017,,Мегафон,Мегафон,9295312541,it_13976264,location,Берег,б\у,Доступные
usb-модем,БЦ Шуховская 14,18.03.2019,,Мегафон,Мегафон,9262061368,it_12551091,location,БЦ Шуховская 14,б\у,Доступные
usb-модем,ГБР 10,25.03.2020,,Мегафон,Мегафон,9265370446,it_12346111,location,ГБР 10,б\у,Доступные
usb-модем,ГБР 15,25.09.2018,3000.0,Мегафон,Мегафон,9295312438,it_12346645,location,ГБР 15,,Доступные
usb-модем,ГБР 5,02.03.2018,2450.0,Мегафон,Мегафон,9265353082,it_13977057,location,ГБР 5,новый,Доступные
usb-модем,ГБР 6,27.03.2018,,Мегафон,Мегафон,,it_12346091,location,ГБР 6,"б\у
без симки",Доступные
usb-модем,Гипросвязь,28.01.2020,,Мегафон,Мегафон,9263750151,it_12346160,location,Гипросвязь,,Доступные
usb-модем,Гостиница Интерметсервис,17.10.2017,,Мегафон,Мегафон,9265357690,it_12346468,location,Гостиница Интерметсервис,,Доступные
usb-модем,Гостиница Москва,28.02.2018,2540.0,Мегафон,Мегафон,9265356788,it_13977051,location,Гостиница Москва,новый,Доступные
usb-модем,Гостиница Москва,28.02.2018,2540.0,Мегафон,Мегафон,9265357347,it_13977052,location,Гостиница Москва,новый,Доступные
usb-модем,Гостиница Москва,11.10.2018,2819.0,Мегафон,Мегафон,9262061724,it_12346520,location,Гостиница Москва,новый,Доступные
